"country","questionnaire","context","text"
"Algeria","Systems","PublicFinance","feg"
"Algeria","Systems","PublicFinance","czvz"
"Argentina","Agency","Agency","Chatbot MIA - chatbot de consulta de cara a la ciudadanía"
"Argentina","Agency","Agency","Trayectoria formativa en IA"
"Argentina","Agency","Agency","Predicción de deserción escolar"
"Australia","Agency","Agency","AI for Operational Blueprint (OB – Knowledge Management): AI for OB is a digital tool that helps staff quickly find clear and consistent information they need to support people in using Services Australia’s payments and services. It is designed to benefit frontline staff and, in turn, the public, by making it easier to locate the right guidance without searching through long or complex documents. The initiative was developed to address delays, confusion, and errors caused by difficult information searches, and to give staff more time to focus on helping people with their individual needs."
"Australia","Agency","Agency","CLIKChat – an internal chatbot that supports Department of Veterans’ Affairs that summarises information from publicly available government sources – is designed to help staff easily navigate publicly available policy and compensation information and aims to improve the speed and accuracy of information for claims teams. The tool draws solely on public, non-personal information."
"Australia","Agency","Agency","TM Checker is IP Australia's free trade mark availability check designed to lower the bar of entry for small to medium businesses by simplifying the learning process of a complex IP system. The tool allows customers to check the potential registrability of their trademarks and then proceed through the application process. TM Checker guides customers through a step-by-step process. It leverages AI-powered search tools to identify potential issues. This includes similarity and distinctiveness, the most common reasons for rejection."
"Australia","Manager","PublicFinance","Documents Register Agent.

Finance developed the Document Register Agent (DRA) an AI-enabled tool that supports a business area to extract and record key information from documents. It uses AI and automation to extract key information from documents and store it in a consistent format. DRA was developed to improve access to historical records, reduce duplication of work, and address problems caused by broken links, inconsistent document formats and limited searchability."
"Australia","Manager","PublicFinance","GovAI Chat.

GovAI Chat is a secure, government-controlled generative AI tool developed specifically for the Australian Public Service (APS).  
The goal of GovAI Chat is to give public servants access to the advanced AI capabilities of a contemporary chat interface tailored to the APS context – with the security, compliance, and public sector knowledge embedded in the GovAI environment."
"Australia","Manager","Tax","Tax Time Nudging – help reduce taxpayer compliance costs and improve the efficiency of the tax system."
"Australia","Manager","Tax","MyID Fraud Detection - myID digital platform provides an easy and secure way for individuals to prove their identity and access a range of government online services. We use AI to scan all myID accounts to identify and risk score the likelihood of digital identity theft (third-party fraud)."
"Australia","Manager","Tax","AI-assisted Law Interpretation and Insight – AI learns from law frameworks and precedential rulings to suggest correct application of the law. This helps clients understand and comply with legislation correctly and helps case officers make consistent decisions."
"Australia","Systems","Tax","Tax Time Nudging – help reduce taxpayer compliance costs and improve the efficiency of the tax system."
"Australia","Systems","Tax","MyID Fraud Detection - myID digital platform provides an easy and secure way for individuals to prove their identity and access a range of government online services. We use AI to scan all myID accounts to identify and risk score the likelihood of digital identity theft (third-party fraud)."
"Australia","Systems","Tax","AI-assisted Law Interpretation and Insight – AI learns from law frameworks and precedential rulings to suggest correct application of the law. This helps clients understand and comply with legislation correctly and helps case officers make consistent decisions."
"Austria","Agency","Agency","GovGPT"
"Austria","Agency","Agency","AI in the Electronic file management system"
"Austria","Agency","Agency","Grants4Companies"
"Austria","Manager","Health","internal instance of Open WebUI: knowledge management, drafting texts"
"Austria","Manager","PublicFinance","Fraud Detection - Employee tax assessment, Child benefit and many more"
"Austria","Manager","PublicFinance","Digitization of land registries"
"Austria","Manager","PublicFinance","for everything"
"Austria","Manager","Tax","Predictive Analytics - Fraud Detection"
"Austria","Systems","Tax","TMIS Ecosystem"
"Azerbaijan","Agency","Agency","Voice Bot"
"Azerbaijan","Agency","Agency","Document Management System"
"Azerbaijan","Agency","Agency","Digital Twin for Transport"
"Belgium","Agency","Agency","Artificial intelligence for social fraud detection by the National Social Security Office (RSZ)"
"Belgium","Agency","Agency","Chatbots DIV, Bea, Dofi etc."
"Belgium","Agency","Agency","Belgium's AI Antenna BE-AIFA"
"Benin","Agency","Agency","GPT-BJ : Chatbot sur le site des services publics qui permet d'orienter les citoyens vers le bon service selon leur besoin"
"Benin","Agency","Agency","Anonymisation intelligente de données : Module permettant d'identifier automatiquement les données personnelles sur des données structurées ou document grâce aux LLM"
"Benin","Agency","Agency","Intelligent Document Processing : Extraire des données structurées à partir de documents comme le passeport, un levé topographique ou encore un acte de naissance. Permet le traitement automatique de demandes grâce aux agents IA"
"Benin","Manager","PublicFinance","CUSTOMS WEBB - Détection de fraude dans les déclaration en douane -  système d'information dou    anier"
"Benin","Manager","PublicFinance","eRepertoire"
"Benin","Manager","PublicFinance","SECUROUTE - détection de comportements deviants dans les contrôles routiers"
"Benin","Systems","Procurement","Chatbot pour se renseigner sur la procedure"
"Benin","Systems","Procurement","Assistant vocal pour la prise d'information"
"Benin","Systems","Procurement","Analyse des documents soumis"
"Bhutan","Agency","Agency","Chatbot"
"Bhutan","Agency","Agency","Dzongkha NLP"
"Bhutan","Agency","Agency","Machine Translation from English to Dzongkha for public service delivery portal"
"Bhutan","Systems","CivilService","chatbot for RCSC"
