country,category,text
Argentina,citizen,Chatbot MIA - citizen-facing inquiry chatbot
Benin,citizen,GPT-BJ: Chatbot on the public services website that directs citizens to the right service based on their need
Bhutan,citizen,Machine Translation from English to Dzongkha for public service delivery portal
Burkina Faso,citizen,"LegiChat, providing an interactive assistant that lets citizens query Burkina Faso's legislative corpus"
Chile,citizen,"Talent search and attraction system, headhunting based on successful interns from the Chilean state, to join the public service as a first work experience · Civil Service"
Czechia,citizen,"AI-assisted pre-filling of public service forms. Purpose: Use of AI (LLM, NLP and conversational interfaces) to support users in completing electronic forms, reducing errors and improving accessibility of digital public services.  The AI use within the Digital and Information Agency is currently focused on pilot projects and experimentation, with the aim of validating use cases before wider deoployment across public administation"
Ethiopia,citizen,Immigration and citizen service
Greece,citizen,"mAIgov – AI Citizen Service Assistant: Its purpose is to provide automated, natural language assistance to citizens regarding public services, administrative procedures, and the contents of the gov.gr portal. In addition, it has recently been embedded in gov.gr wallet"
Hungary,citizen,"1818 MIA Chatbot - hybrid chatbot with text-to-speech and speech-to-text functionalities to support clients of various connected public services. The MIA chatbot is an in‑house, custom‑developed hybrid chatbot service that we have been using at the 1818 Government Hotline since 2022 not to replace human intelligence, but to support and enhance operators' work. In 2025, MIA was already able to respond to 63% of customer inquiries without operator intervention. However, in more complex life situations - where precise answers are required and hallucination‑related errors must be avoided - the chatbot redirects the conversation to a human operator. These cases fall into two categories: in most of them, the chatbot still provides answer suggestions to the operator, who can select from them, significantly speeding up response times. In the more complicated cases making up a few percent of all questions, the operator provides the final answer directly.
Currently, MIA does not use a large language model; therefore, it does not perform LLM‑based analysis of customer questions and does not search in any RAG-model knowledge base. Instead, it learns exclusively from conversations between operators and customers, and only provides automated responses for pre‑validated question‑answer pairs"
Kazakhstan,citizen,AI on the Social Services Portal (SSP) · Civil Service
Kazakhstan,citizen,AI model for assessing citizens needs · Civil Service
Kazakhstan,citizen,AI model for assessing citizens' needs · Civil Service
Kosovo,citizen,"Chatbot at eKosova, citizen facing query front-end"
Panama,citizen,Virtual Assistant for Citizen Services 3-1-1
Portugal,citizen,"Virtual Assistant on GOV.PT (public service gateway) -   The Portuguese single digital gateway, Gov.pt, provides a multilingual GenAI virtual assistant (12 languages) that gives real-time guidance on 2.300+ public services. It  benefits citizens, foreign residents and businesses by making information easier to find and understand. It was developed to cut bureaucratic friction (complex navigation, language barriers and long waits) while reducing workload on public administration"
Portugal,citizen,LIA - LIA is a chat-based search engine specialized in the legislation published in Portugal Official Gazette. It tries to avoid the challenges most citizens (non-legal trained) have when searching legislation. Lia uses a hybrid architecture to communicate with the users and to return search results. The first version of Lia was able to respond based only on current consolidated legislation. The second version will be able to respond on current consolidated legislation and non-consolidated fragmented legislation. With the expected growth of LLM capabilities and reduction in processing costs is feasible to expect the arrival of full-fledged LLM search engines based on non-fragmented legislation
Singapore,citizen,"AI-powered recommender / bot for Service Delivery - To provide personalised, proactive and omni-channel recommendations on relevant Govt schemes to citizens · Civil Service"
Tajikistan,citizen,Centralized portal of public services
Ukraine,citizen,Diia AI - This is the world's first national AI assistant. An assistant that can fulfill your requests and provide ready-made services directly in the chat on the main page of the Diya portal
United Arab Emirates,citizen,"U.ask - The UAE federal government's bilingual (Arabic/English) generative AI assistant, integrated into the official national portal u.ae. It provides unified, conversational access to government services and information, automating responses to citizen and resident enquiries across federal entities"
United Arab Emirates,citizen,"TAMM Platform (AI-supported Government Services)- It consolidates services across more than 50 entities into a single citizen and business journey, with AI delivering personalised recommendations, intelligent document triage, conversational service navigation, and proactive service prompts. TAMM is being repositioned as the operational backbone of Abu Dhabi's ""AI-native government by 2027"" commitment"
United Arab Emirates,citizen,"(GAIA) secure, government-wide platform that enables federal entities to rapidly develop, deploy, and operate AI agents. It automates internal workflows, augments employee tasks, and powers AI-driven public service delivery at scale , providing a shared sovereign infrastructure layer so individual ministries do not need to build foundational AI capability from scratch"
Argentina,edu,School dropout prediction
Chile,edu,"Curriculum (CV) Evaluation System, to streamline the CV-review stage in the public sector selection process · Civil Service"
Czechia,edu,Microsoft Copilot M365 - for 100 employees (the rest has Copilot chat at their disposal) · Education
Czechia,edu,"Support for administrative processes of some subsidy programs, including automation of email processing · Education"
Czechia,edu,Support for decision-making processes within the agenda of recognition of foreign education for health and social insurance purposes · Education
Greece,edu,School vocational guidance using Machine Learning Techniques · Education
Greece,edu,AI assistant of Panhellenic Schools Network · Education
Greece,edu,AI focus within the “Education Innovation Centers” for capacity‑building and pedagogical AI uses · Education
Greece,edu,Eduplan · Education
Guatemala,edu,Lago de datos · Education
Guatemala,edu,Chatbot for handling general inquiries about simplified procedures using natural language · Education
Guatemala,edu,Querying the student and teacher records system using natural language · Education
Guatemala,edu,Data lake for querying student and teacher records · Education
Guatemala,edu,Chatbot for handling inquiries about simplified administrative procedures using natural language · Education
Jordan,edu,Siraj platform for student and teachers · Education
Kazakhstan,edu,AI-Qyzmet - training civil servants in the practical use of AI and the integration of AI tools into everyday workflows · Education
Kazakhstan,edu,AI Governance 500 - preparing public sector leaders to introduce and scale AI-based solutions in public administration · Education
Kazakhstan,edu,GOV HR AI - an intelligent system for analyzing HR data and supporting decision-making in public sector human resource management · Education
Kazakhstan,edu,Data Integrity AI · Education
Kazakhstan,edu,AI expert for educational programs · Education
Kazakhstan,edu,Risk Identification Agent (RegTech AI) · Education
Kosovo,edu,"MIA – Learning with Artificial Intelligence, MIA  the purpose is to support:
Students in learning, exercises and preparation for the Achievement Test, the Matura Exam and international assessments.
Teachers in lesson planning, development of teaching materials, assessment and pedagogical use of technology.
Educational institutions in digitalisation, quality assurance, security and sustainable development.
I operate in standard Albanian and adapt according to the user’s role and level · Education"
Lao PDR,edu,"Eduten: An AI-powered educational platform designed to improve foundational numeracy skills. It uses machine learning to provide personalized mathematics exercises, real-time analytics for teachers, and gamified tasks for students · Education"
Lao PDR,edu,"AI Air Quality Sensors: Deployment of AI-supported sensors across schools to monitor PM2.5 and other pollutants. The system uses AI-based forecasting to predict dangerous pollution spikes, enabling MoES to make data-driven decisions on school closures and student safety · Education"
Peru,edu,School management information system SIAGIE - functional support · Education
Peru,edu,PERUEDUCA · Education
Peru,edu,Model for identifying aggressive behavior in the classroom · Education
Peru,edu,"Peru Educa, improving learning in Peru · Education"
Peru,edu,"SonarQube, code quality and security control · Education"
Peru,edu,chatbot (proyecto) · Education
